releasedate,genre,Total Tournaments,Total Players,Online Earnings,Total Earnings,Average Tournament Prize Pool
2013,Multiplayer Online Battle Arena,1526,4059,214928871.3,234795551.2,153863.4018
2017,Battle Royale,1138,9550,85735959.91,159090413.4,139798.2543
2012,First-Person Shooter,5834,14170,77935762.04,119035810,20403.807
2009,Multiplayer Online Battle Arena,2606,7801,75284691.41,84189144.84,32305.88827
2015,Multiplayer Online Battle Arena,541,1984,39073600.64,44756470.32,82729.15031
2010,Strategy,6250,2826,32822906.45,40064488.3,6410.318128
2016,First-Person Shooter,853,4040,22813744.18,31923031.98,37424.42202
2015,First-Person Shooter,558,3109,25484096.14,31006169.11,55566.61131
2014,Collectible Card Game,929,2530,18482179.57,25244153.47,27173.46983
2015,Sports,1593,1732,4313065.86,14913530.86,9361.915166
2020,First-Person Shooter,801,4175,1385091.39,13923416.7,17382.5427
2000,First-Person Shooter,1017,4225,12840725.72,13553955.46,13327.38983
2007,First-Person Shooter,648,2673,9015668.29,10112077.85,15605.05841
2014,Multiplayer Online Battle Arena,132,792,8569658.44,10047533.94,76117.68136
1998,Strategy,682,683,8075539.32,8502810.61,12467.46424
2018,First-Person Shooter,122,720,7087034.18,7797451.97,63913.54074
2019,First-Person Shooter,89,456,678562.5,7591214.5,85294.54494
2017,First-Person Shooter,362,623,6819273.6,7388289.19,20409.63865
2019,Battle Royale,336,1399,2014420.75,6664325.69,19834.30265
2004,First-Person Shooter,439,1835,6065246.59,6305702.85,14363.78781
2018,Collectible Card Game,205,517,5365635.81,6131178.54,29908.188
2002,Strategy,1350,696,5090870.86,5896706.31,4367.9306
2004,Role-Playing Game,120,425,4673888.91,5015837.61,41798.64675
2018,Sports,69,434,4068714.5,4471390.31,64802.75812
2018,Fighting Game,1828,2856,4099303.56,4439027.92,2428.352254
2015,Fighting Game,965,1551,3222402.01,4400540.89,4560.146
2016,Collectible Card Game,373,891,3835768.26,4216200.98,11303.48788
2017,Sports,64,406,3581943.7,3866074.31,60407.41109
2016,Strategy,73,472,3209638.98,3608678.27,49433.9489
2001,Fighting Game,2642,1931,3215841.59,3280660.36,1241.733671
2016,Third-Person Shooter,42,141,3055000,3087385,73509.16667
2014,First-Person Shooter,424,880,2733341.19,3077513.98,7258.287689
2016,Sports,69,237,3001310.34,3001310.34,43497.2513
2010,Multiplayer Online Battle Arena,371,813,1552890.01,2918706.56,7867.133585
2013,Racing,382,779,1749560.29,2806169.21,7345.992696
2019,Strategy,63,373,1727493.75,2689654.58,42692.92984
2012,Strategy,35,191,1127101.87,2631062.87,75173.22486
2016,Fighting Game,233,525,2520996.4,2524986.4,10836.8515
2013,First-Person Shooter,288,625,2344900.51,2487620.33,8637.57059
2014,Fighting Game,1343,1692,2381196.75,2384671.75,1775.630491
2012,Sports,73,150,2352537.49,2362769.72,32366.70849
2019,Sports,63,322,1282013.14,2333946.76,37046.77397
2014,Strategy,16,74,0,2205625.43,137851.5894
2008,Racing,207,1194,336571.85,2069286.08,9996.551111
2016,Battle Royale,13,119,2067122,2067122,159009.3846
2018,Strategy,59,340,487826.91,2062392.98,34955.81322
1999,Strategy,989,1357,619582.87,1949008.74,1970.686289
2019,Third-Person Shooter,24,200,680000,1810250,75427.08333
2010,First-Person Shooter,492,572,1609058.15,1790469.21,3639.165061
2007,Strategy,288,2033,352816.17,1777186.11,6170.785104
