"releasedate","Total Yearly Sum"
1981,0.0
1989,27006.02
1993,4638.56
1994,34117.48
1995,13501.19
1996,106406.36
1997,340004.74
1998,8511174.18
1999,3456983.27
2000,14050183.67
2001,3698294.91
2002,7372949.41
2003,1262452.8
2004,12108049.57
2005,2157056.71
2006,1041783.27
2007,12666984.61
2008,3488838.97
2009,84467731.93
2010,45541136.65
2011,2159829.72
2012,125113447.57
2013,241044285.6
2014,43518725.03
2015,95523740.39
2016,50846192.83
2017,172659835.1
2018,25478549.72
2019,22874806.83
2020,17218946.35
2021,167034.34
